method,dataset,iter,n_samples,ca_rmsd_min__mean_over_samples,ca_rmsd_min__median_over_samples,ca_rmsd_max__mean_over_samples,ca_rmsd_max__median_over_samples,ca_rmsd_median__mean_over_samples,ca_rmsd_median__median_over_samples,tm_score_min__mean_over_samples,tm_score_min__median_over_samples,tm_score_max__mean_over_samples,tm_score_max__median_over_samples,tm_score_median__mean_over_samples,tm_score_median__median_over_samples
hybrid_dplm2_650m,PDB_date,1,449,2.6400317377908276,1.2438328773049665,5.490729681084387,2.5000365916732057,3.8624635606892666,1.7135759679556402,0.849510021743249,0.9209010922395188,0.9370965817794618,0.974097461379652,0.8999890740949645,0.9534826606612727
hybrid_dplm2_650m,PDB_date,10,449,2.361325529990904,1.159959167519965,4.631983572707232,2.0806522097110043,3.171394962956872,1.5127462969378107,0.8821355004629454,0.9418047506341594,0.9438849688276683,0.975688629226508,0.9183430661069473,0.9627114966488136
hybrid_dplm2_650m,PDB_date,30,449,2.3701207844964585,1.1903825110333786,4.487898807936735,2.069666218018497,3.1301780684006353,1.5292256790813383,0.881532341535682,0.9423405534190566,0.9444842617537323,0.9767694118790724,0.9182483150138652,0.962868288347311
hybrid_dplm2_650m,PDB_date,100,449,2.3141857852933705,1.172537667970729,4.456470191266923,2.034113818049728,3.1612473951351983,1.5096499335009377,0.8842089190826247,0.9450652006063835,0.9455572179001926,0.9765577463595376,0.9197798802588948,0.9626478580352814
hybrid_dplm2_650m,cameo2022,1,183,4.328078860452529,2.9549546343765147,8.119565746225726,5.7106769126597845,5.924807119627381,4.1659051666136735,0.7888271052803733,0.8735788348908471,0.8909198484382985,0.9528244832614712,0.8504315166241619,0.9210180394083527
hybrid_dplm2_650m,cameo2022,10,183,4.051386198577166,2.61638514908816,6.938435746449203,4.636614066644538,5.244515424178335,3.60441844296457,0.8346207813446739,0.9103211045857146,0.8991984408514789,0.9519741369737198,0.8667352446253254,0.9295850597500945
hybrid_dplm2_650m,cameo2022,30,183,4.10371506641386,2.612536399069044,6.8452943692998725,4.581819694589562,5.3864653546038115,3.7660856310045965,0.8336407557348686,0.906942909326876,0.8969926986530875,0.9504491165313056,0.8651745660394236,0.9280596650868735
hybrid_dplm2_650m,cameo2022,100,183,4.066970922391026,2.7223593233720176,6.93021227830164,4.667730661248388,5.217753081151627,3.50699222996493,0.8372090709121057,0.9116821586466036,0.8969691556439631,0.9520930183580002,0.8658315271375124,0.9297678686590252
hybrid: emb-xhigh,PDB_date,1,449,2.652374735746333,1.3301406157235458,5.785127736154408,2.8884656282643024,3.9399221882307605,1.8593088027371882,0.8413412539094872,0.9124051223369656,0.9356373564157358,0.9734635944776254,0.8956744637584517,0.9510087815608669
hybrid: emb-xhigh,PDB_date,10,449,2.3356204511735825,1.212000866540596,4.435150871114139,2.0660372147243296,3.2813980986874665,1.5353284835722936,0.8841766012567692,0.9412364913894016,0.9442867514205383,0.9742133752508848,0.9169469328053717,0.9604475138914321
hybrid: emb-xhigh,PDB_date,30,449,2.4219218173447676,1.2057667535379684,4.277414565375587,2.0116487712987854,3.19776880250701,1.5254495065844953,0.8886098525571071,0.9453800907834228,0.9432113747424592,0.9741249185266408,0.9179769176742409,0.9618547145420211
hybrid: emb-xhigh,PDB_date,100,449,2.3892180709763218,1.266879740889039,4.154157445758456,1.851029054347465,3.1816954491122633,1.495318100236957,0.8940262172881543,0.9492383054645416,0.9415550436167164,0.9741082445983092,0.919215083170448,0.9636210458774392
hybrid: emb-xhigh,cameo2022,1,183,4.304725428189024,2.915490473062502,8.283438716782305,5.665963970585901,5.867173581120705,4.257121557192961,0.7843270322166984,0.8726330364560467,0.8922207438218935,0.9500840754105968,0.8463137658049704,0.9184355556527725
hybrid: emb-xhigh,cameo2022,10,183,4.191203705257547,2.7028319590956182,6.9479662774246425,4.710634801459199,5.387677381428611,3.7052991413050966,0.8348009929569463,0.909560113261113,0.8943925260335023,0.9564366498578488,0.8672521114415394,0.9379035101324347
hybrid: emb-xhigh,cameo2022,30,183,4.355204326403703,2.782720906059481,6.674262148782341,4.653849582073788,5.406014085520991,3.473515725019533,0.839203331758337,0.914997758347852,0.8938669246526392,0.956022573155146,0.8679931677695593,0.9342054169248428
hybrid: emb-xhigh,cameo2022,100,183,4.496819509057144,2.84687165321071,6.4876917693914535,4.2310689615167405,5.423812783763024,3.4867442859753295,0.8405077383487094,0.9183920566212076,0.8929448477881126,0.9558877633377838,0.8697632435122216,0.9382001134226852
dplm2_650m,PDB_date,1,449,3.400997878993607,1.812600630329965,7.924472442693607,4.466048497144246,5.105141438905393,2.577202951238572,0.7787984414003851,0.8491487771577519,0.9111614667101157,0.955487655036641,0.8574573540952499,0.9212885085524054
dplm2_650m,PDB_date,10,449,2.4348990554735743,1.2973228736742106,5.20128135974742,2.460709530806248,3.5849610934501563,1.740755178268056,0.8628559779797328,0.924322161011194,0.9420362356794755,0.971538442928476,0.9084977107909645,0.9528527535817335
dplm2_650m,PDB_date,30,449,2.4696530809968893,1.3130065939995503,4.678237279682714,2.173044922287273,3.38672275007739,1.6599005583756767,0.8799638938879166,0.9333049433053742,0.9387060600680887,0.9712878630486628,0.9136055624323727,0.9524889844290256
dplm2_650m,PDB_date,100,449,2.5668500886240824,1.3361481681271885,4.621366180352509,2.1149195111173333,3.3664738857130225,1.6754228782469025,0.8818378600211246,0.9366615873737484,0.9373296935555981,0.968925831430754,0.9127359106359076,0.9525890940524935
dplm2_650m,cameo2022,1,183,5.145104552237384,3.679822416732639,10.674384235714385,9.66076542056284,7.24476399244147,5.74046144274198,0.720298748499765,0.8193613522195109,0.8686752626185715,0.9294547207043088,0.8157837411319309,0.8964113045147337
dplm2_650m,cameo2022,10,183,4.147783115481883,2.782632321134272,7.441172855998989,4.85639903586322,5.469383623698412,3.7294510085735904,0.8220724017091521,0.8981053969665004,0.8950172124447123,0.9551807362781902,0.8597884231419041,0.92945437770591
dplm2_650m,cameo2022,30,183,4.302897587047604,2.9110500396040027,6.93839154552361,4.549245441738071,5.454356212436756,3.4430227408446754,0.8287111959134391,0.91208591468865,0.892432576183119,0.9461348856804574,0.8621932080093525,0.93005320589484
dplm2_650m,cameo2022,100,183,4.383259729331435,2.9768588202787827,6.856335395166871,4.501446721421202,5.3754212522102005,3.5805853262380234,0.8286890444934567,0.913192232901587,0.8899844640372186,0.9458256949787984,0.8628407996940006,0.9315087878006505
dplm2_650m no_remask,PDB_date,1,449,3.400997878993607,1.812600630329965,7.924472442693607,4.466048497144246,5.105141438905393,2.577202951238572,0.7787984414003851,0.8491487771577519,0.9111614667101157,0.955487655036641,0.8574573540952499,0.9212885085524054
dplm2_650m no_remask,PDB_date,10,449,2.4001305190753186,1.282052439834382,4.977102927339189,2.345640907380489,3.4560806083802866,1.7240406543694178,0.8668576899344904,0.9240917877042848,0.9419250789205589,0.9733324338507884,0.9118748085350474,0.9514797347147402
dplm2_650m no_remask,PDB_date,30,449,2.7054787723297484,1.4132571239180358,4.410703442536588,2.059676944170229,3.3590768701766454,1.6418161923640702,0.889098073732607,0.9387218466912296,0.9341852019505062,0.9685045694037108,0.9155913783682268,0.9569569624532017
dplm2_650m no_remask,PDB_date,100,449,2.7650652349913787,1.4556126681957222,4.274765068492104,2.008827187360321,3.356762096450727,1.6768411594848487,0.8918717334347811,0.9417587327251676,0.9318271563409681,0.9671259754622284,0.9146704355172068,0.9563434785203748
dplm2_650m no_remask,cameo2022,1,183,5.145104552237384,3.679822416732639,10.674384235714385,9.66076542056284,7.24476399244147,5.74046144274198,0.720298748499765,0.8193613522195109,0.8686752626185715,0.9294547207043088,0.8157837411319309,0.8964113045147337
dplm2_650m no_remask,cameo2022,10,183,4.221127928106253,2.764871241316844,7.357670013467173,4.865553245383514,5.503313035776195,3.670774282045807,0.8257287994132704,0.9017159789988788,0.894164294311107,0.955566067095632,0.8611640541641782,0.9288031565841519
dplm2_650m no_remask,cameo2022,30,183,4.532870052502945,2.963521032960725,6.627912056099756,4.298587204493198,5.434054979100484,3.7557556601018094,0.8384623610231764,0.9148116302463848,0.8896145353506192,0.9443181540672656,0.8624611761628491,0.9282261254720992
dplm2_650m no_remask,cameo2022,100,183,4.612076097831997,3.0885261732327827,6.384813166591447,4.312557713890791,5.466115933610618,3.7557556601018094,0.8409648074959329,0.9196506359984182,0.8836239464109266,0.9445286285900352,0.8620479233231176,0.9320613364944241
