model_name,sampling_strategy,remasking_strategy,PDB_date_inv_fold_seq_recovery_mean(std),PDB_date_inv_fold_seq_recovery_median,PDB_date_bb_tmscore_mean(std),PDB_date_bb_tmscore_median,PDB_date_mean_plddt_mean(std),PDB_date_mean_plddt_median,PDB_date_ca_rmsd_mean(std),PDB_date_ca_rmsd_median,PDB_date_bb_rmsd_mean(std),PDB_date_bb_rmsd_median,cameo2022_inv_fold_seq_recovery_mean(std),cameo2022_inv_fold_seq_recovery_median,cameo2022_bb_tmscore_mean(std),cameo2022_bb_tmscore_median,cameo2022_mean_plddt_mean(std),cameo2022_mean_plddt_median,cameo2022_ca_rmsd_mean(std),cameo2022_ca_rmsd_median,cameo2022_bb_rmsd_mean(std),cameo2022_bb_rmsd_median
dplm2_150m,annealing@2.0:0.1,cond,0.4961(0.1163),0.4866,0.8949(0.1287),0.9457,77.2856(12.5150),81.0654,4.2756(6.5602),2.0055,4.2210(6.5529),1.9599,0.4405(0.1173),0.4590,0.8434(0.1732),0.9155,74.7622(13.5997),78.3517,6.1719(5.7269),3.9902,6.1073(5.7184),3.9650
dplm2_150m,annealing@2.0:0.1,no_remask,0.5018(0.1144),0.4938,0.8970(0.1290),0.9480,77.4694(12.6570),81.2207,4.2078(6.4578),2.0363,4.1554(6.4496),1.9893,0.4448(0.1165),0.4585,0.8460(0.1710),0.9225,75.4605(13.2026),79.7325,6.3880(5.9833),3.9119,6.3267(5.9767),3.8493
dplm2_150m,annealing@2.0:0.1,uncond,0.4907(0.1192),0.4823,0.8894(0.1368),0.9449,76.5978(13.2436),80.8736,4.3322(6.6074),2.0122,4.2766(6.5995),1.9634,0.4339(0.1225),0.4444,0.8343(0.1829),0.9173,74.5732(13.5849),78.0104,6.9813(7.5161),4.2368,6.9203(7.5119),4.1516
dplm2_150m,argmax,cond,0.4998(0.1164),0.4899,0.8973(0.1301),0.9480,77.3234(12.7719),81.0448,4.1403(6.4068),1.9677,4.0869(6.3989),1.9259,0.4419(0.1191),0.4606,0.8414(0.1718),0.9163,74.8717(13.5452),78.2315,6.5438(7.0684),4.2543,6.4814(7.0629),4.1685
dplm2_150m,argmax,no_remask,0.5010(0.1149),0.4911,0.8971(0.1316),0.9489,77.4943(12.8108),81.0799,4.1202(6.3883),1.9215,4.0669(6.3797),1.8836,0.4449(0.1163),0.4599,0.8456(0.1715),0.9206,75.2966(12.9406),79.2656,6.3721(5.9790),4.1196,6.3113(5.9717),4.0959
dplm2_150m,argmax,uncond,0.4988(0.1168),0.4903,0.8946(0.1336),0.9461,77.3205(12.9046),81.0223,4.1806(6.4480),1.9632,4.1271(6.4393),1.9111,0.4419(0.1192),0.4535,0.8388(0.1785),0.9156,74.8248(13.3549),78.9236,6.9416(8.7218),4.3081,6.8800(8.7202),4.2076
dplm2_3b,annealing@2.0:0.1,cond,0.6157(0.1784),0.5852,0.9197(0.1124),0.9594,81.3636(10.5254),84.8123,3.1720(5.8668),1.5627,3.1266(5.8606),1.5259,0.5139(0.1467),0.5383,0.8711(0.1499),0.9293,79.7829(10.4664),81.6855,5.1227(5.0538),3.6235,5.0702(5.0485),3.5417
dplm2_3b,annealing@2.0:0.1,no_remask,0.6182(0.1771),0.5885,0.9196(0.1156),0.9602,81.6510(10.3307),84.8386,3.2677(6.0637),1.5025,3.2227(6.0571),1.4569,0.5196(0.1412),0.5474,0.8712(0.1510),0.9316,79.5938(10.6007),81.8790,5.1039(5.1286),3.5398,5.0498(5.1223),3.5009
dplm2_3b,annealing@2.0:0.1,uncond,0.6134(0.1797),0.5844,0.9184(0.1134),0.9578,81.6364(9.9469),84.6751,3.2493(6.0551),1.5048,3.2030(6.0484),1.4674,0.5091(0.1499),0.5309,0.8718(0.1480),0.9298,79.7717(9.5226),81.7960,5.1743(5.3229),3.6218,5.1205(5.3173),3.5101
dplm2_3b,argmax,cond,0.6159(0.1769),0.5868,0.9178(0.1148),0.9605,81.5693(10.3022),84.8141,3.2658(6.0435),1.5158,3.2196(6.0373),1.4700,0.5146(0.1454),0.5369,0.8698(0.1530),0.9300,79.8329(10.2380),82.1595,5.0849(5.0733),3.4644,5.0335(5.0669),3.4275
